iter	RMSE
0	0.2822739063
1	0.2598393593
2	0.2401318604
3	0.2225871269
4	0.2071486335
5	0.1936763393
6	0.1814985247
7	0.1707874249
8	0.1615473958
9	0.1533259461
10	0.1460944062
11	0.1398997212
12	0.1345837045
13	0.1296260428
14	0.1253420517
15	0.1217415772
16	0.1182839588
17	0.1156348917
18	0.1131081016
19	0.1107695097
20	0.1087823537
21	0.1070192162
22	0.1055730387
23	0.1043468085
24	0.1031742886
25	0.102142417
26	0.1011994477
27	0.1004003874
28	0.09966438068
29	0.09889955625
30	0.09808846955
31	0.09732589093
32	0.09664827427
33	0.09596923316
34	0.09545016996
35	0.09496060616
36	0.09454622511
37	0.09410409249
38	0.09367915521
39	0.09331522114
40	0.09287995018
41	0.09260675683
42	0.09228195249
43	0.09199306436
44	0.09171154055
45	0.0914420417
46	0.09124304326
47	0.09085430063
48	0.09038944735
49	0.09021119917
50	0.09000825945
51	0.0897180872
52	0.08960514009
53	0.08946396164
54	0.08924115604
55	0.08906110289
56	0.08887811744
57	0.08861306589
58	0.08833256622
59	0.08813914956
60	0.08802965426
61	0.08789853358
62	0.08764987319
63	0.08751361751
64	0.08733582187
65	0.08723793322
66	0.08711174178
67	0.08698855643
68	0.08691283811
69	0.08684522107
70	0.08664846929
71	0.08650276843
72	0.08640407354
73	0.08623405278
74	0.08612289337
75	0.08601604156
76	0.08591617433
77	0.08581579219
78	0.08570268908
79	0.08551997922
80	0.08543759486
81	0.08537295404
82	0.08529245843
83	0.08519726201
84	0.08508592485
85	0.08500834615
86	0.08495738113
87	0.08489853964
88	0.08484508018
89	0.08478434068
90	0.08465592453
91	0.08459060174
92	0.08451364155
93	0.08444682766
94	0.08435238956
95	0.08428796453
96	0.08424343005
97	0.08418166159
98	0.0840963576
99	0.08406927192
100	0.08401788772
101	0.08396395847
102	0.08392217933
103	0.08385771631
104	0.08381133883
105	0.08375273112
106	0.0837148686
107	0.08364304975
108	0.0836054232
109	0.08357100537
110	0.08350608764
111	0.0834669498
112	0.08343877196
113	0.08339366835
114	0.08335525758
115	0.08330445561
116	0.08326338677
117	0.08322331464
118	0.08317594589
119	0.08313516565
120	0.08308049667
121	0.08300516532
122	0.08295551458
123	0.08290485541
124	0.08286361933
125	0.08283721897
126	0.08279409973
127	0.08273930578
128	0.0827068646
129	0.08268055604
130	0.08263251363
131	0.08260108691
132	0.0825491357
133	0.08251471358
134	0.08247083859
135	0.08245210339
136	0.08242486439
137	0.08240502689
138	0.08236793825
139	0.0823458714
140	0.08232274016
141	0.08228537285
142	0.08225794842
143	0.08223939321
144	0.08222095024
145	0.0821882894
146	0.08215925523
147	0.08214392527
148	0.0821176935
149	0.08209405735
